code,name,foreign_name,group_code,group_name,brand,subgroup,uom,sales_uom,price,currency,valid,frozen,sellable,stocked,on_hand,committed,on_order,created,updated,series,warranty,stock_WH-1,stock_WH-2,stock_WH-3,stock_WH-4
(AL)6LA2K11,Acry LuxA2-K11,6ក្រោមAcry Lux A2-K11,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K12,Acry LuxA2-K12,6ក្រោម Acry Lux A2-K12,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K2,Acry LuxA2-K2,6ក្រោម Acry Lux A2-K2,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K3,Acry LuxA2-K3,6ក្រោមAcry Lux A2-K3,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K4,Acry LuxA2-K4,6ក្រោមAcry Lux A2-K4,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K5,Acry LuxA2-K5,6ក្រោម Acry Lux A2-K5,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K6,Acry LuxA2-K6,6ក្រោម Acry Lux A2-K6,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K7,Acry LuxA2-K7,6ក្រោម Acry Lux A2-K7,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K8,Acry LuxA2-K8,6ក្រោម Acry Lux A2-K8,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K9,Acry LuxA2-K9,6ក្រោម Acry Lux A2-K9,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K1,Acry LuxA3-K1,6ក្រោមAcry Lux A3-K1,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K10,Acry Lux A3-K10,6ក្រោមAcry Lux A3-K10,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K11,Acry Lux A3-K11,6ក្រោមAcry Lux A3-K11,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K12,Acry Lux A3-K12,6ក្រោមAcry Lux A3-K12,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K2,Acry Lux A3-K2,6ក្រោមAcry Lux A3-K2,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K3,Acry Lux A3-K3,6ក្រោមAcry Lux A3-K3,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K4,Acry Lux A3-K4,6ក្រោមAcry Lux A3-K4,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K5,Acry Lux A3-K5,6ក្រោមAcry Lux A3-K5,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K6,Acry Lux A3-K6,6ក្រោមAcry Lux A3-K6,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K7,Acry Lux A3-K7,6ក្រោមAcry Lux A3-K7,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K8,Acry Lux A3-K8,6ក្រោមAcry Lux A3-K8,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA3K9,Acry Lux A3-K9,6ក្រោមAcry Lux A3-K9,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2E1,Acry Lux A2-E1,6លើ Acry Lux A2-E1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2E2,Acry Lux A2-E2,6លើ Acry Lux A2-E2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2E3,Acry Lux A2-E3,6លើ cry Lux A2-E3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2E4,Acry Lux A2-E4,6លើ Acry Lux A2-E4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2E5,Acry Lux A2-E5,6លើ Acry Lux A2-E5,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2F1,Acry LuxA2-F1,6លើ Acry Lux A2-F1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2F2,Acry LuxA2-F2,6លើ Acry Lux A2-F2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2F3,Acry LuxA2-F3,6លើ Acry Lux A2-F3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2F4,Acry LuxA2-F4,6លើ Acry Lux A2-F4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2G1,Acry LuxA2-G1,6លើ Acry Lux A2-G1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2G2,Acry LuxA2-G2,6លើ Acry Lux A2-G2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2G3,Acry LuxA2-G3,6លើ Acry Lux A2-G3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2G4,Acry LuxA2-G4,6លើ Acry Lux A2-G4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2H1,Acry LuxA2-H1,6លើ Acry Lux A2-H1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2H2,Acry LuxA2-H2,6លើ Acry Lux A2-H2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2H3,Acry LuxA2-H3,6លើ Acry Lux A2-H3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2H4,Acry LuxA2-H4,6លើ Acry Lux A2-H4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2I1,Acry LuxA2-I1,6លើ Acry Lux A2-I1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2I2,Acry LuxA2-I2,6លើ Acry Lux A2-I2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2I3,Acry LuxA2-I3,6លើ Acry Lux A2-I3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2I4,Acry LuxA2-I4,6លើ​​ Acry Lux A2-I4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2L1,Acry LuxA2-L1,6លើ Acry Lux A2-L1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2L2,Acry LuxA2-L2,6លើ Acry Lux A2-L2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2L3,Acry LuxA2-L3,6លើ Acry Lux A2-L3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA2L4,Acry LuxA2-L4,6លើ Acry Lux A2-L4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3E1,Acry LuxA3-E1,6លើ Acry Lux A3-E1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3E2,Acry LuxA3-E2,6លើ Acry Lux A3-E2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3E3,Acry LuxA3-E3,6លើ Acry Lux A3-E3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3E4,Acry LuxA3-E4,6លើ Acry Lux A3-E4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3E5,Acry LuxA3-E5,6លើ Acry Lux A3-E5,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3F1,Acry LuxA3-F1,6លើ Acry Lux A3-F1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3F2,Acry LuxA3-F2,6លើ Acry Lux A3-F2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3F3,Acry LuxA3-F3,6លើ Acry Lux A3-F3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3F4,Acry LuxA3-F4,6លើ Acry Lux A3-F4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3G1,Acry LuxA3-G1,6លើ Acry Lux A3-G1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3G2,Acry LuxA3-G2,6លើ Acry Lux A3-G2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3G3,Acry LuxA3-G3,6លើ Acry Lux A3-G3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3G4,Acry LuxA3-G4,6លើ Acry Lux A3-G4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3H1,Acry LuxA3-H1,6លើ Acry Lux A3-H1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3H2,Acry LuxA3-H2,6លើ Acry Lux A3-H2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3H3,Acry LuxA3-H3,6លើ Acry Lux A3-H3,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3H4,Acry LuxA3-H4,6លើ Acry Lux A3-H4,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3I1,Acry LuxA3-I1,6លើ Acry Lux A3-I1,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6UA3I2,Acry LuxA3-I2,6លើ Acry Lux A3-I2,101,Materials,Ruthinium,Acrylic Tooth 6 Upper,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
